Count Iteration, Accuracy (%), ACC (%), TN (%), TP (%), TimeStep
1, 96.51483781918564, 88.65852849465932, 75.53485162180814, 20.9799861973775, 10000
2, 85.92233009708737, 88.65852849465932, 33.91123439667129, 52.011095700416085, 10000
3, 88.23797065180298, 88.65852849465932, 58.90114890228643, 29.336821749516552, 10000
4, 92.8276380022531, 88.65852849465932, 80.51070221554639, 12.316935786706722, 10000
1, 91.2870945479641, 93.73051151064817, 75.53485162180814, 15.75224292615597, 100000
2, 88.3495145631068, 93.73051151064817, 33.91123439667129, 54.438280166435504, 100000
3, 95.84802639062677, 93.73051151064817, 58.90114890228643, 36.94687748834035, 100000
4, 93.27825760420578, 93.73051151064817, 80.51070221554639, 12.767555388659407, 100000
1, 95.08281573498965, 94.80528096596564, 75.53485162180814, 19.547964113181504, 150000
2, 88.90429958391124, 94.80528096596564, 33.91123439667129, 54.99306518723994, 150000
3, 95.81958821522011, 94.80528096596564, 58.90114890228643, 36.918439312933685, 150000
4, 94.64889222681187, 94.80528096596564, 80.51070221554639, 14.13819001126549, 150000
1, 92.09799861973775, 94.66264180985868, 75.53485162180814, 16.563146997929607, 300000
2, 95.7004160887656, 94.66264180985868, 33.91123439667129, 61.78918169209431, 300000
3, 95.63758389261746, 94.66264180985868, 58.90114890228643, 36.73643499033102, 300000
4, 98.47915884340969, 94.66264180985868, 80.51070221554639, 17.968456627863315, 300000
