Count Iteration, Accuracy (%), ACC (%), TN (%), TP (%), TimeStep
1, 96.42857142857143, 88.52252371790618, 75.53485162180814, 20.893719806763286, 10000
2, 87.65603328710125, 88.52252371790618, 33.91123439667129, 53.744798890429955, 10000
3, 92.76532817654419, 88.52252371790618, 58.90114890228643, 33.864179274257765, 10000
4, 91.30679684566279, 88.52252371790618, 80.51070221554639, 10.796094630116409, 10000
1, 97.77432712215321, 91.54448351356731, 75.53485162180814, 22.239475500345065, 100000
2, 97.78085991678225, 91.54448351356731, 33.91123439667129, 63.869625520110965, 100000
3, 95.9731543624161, 91.54448351356731, 58.90114890228643, 37.072005460129674, 100000
4, 94.72399549380398, 91.54448351356731, 80.51070221554639, 14.213293278257606, 100000
1, 97.53278122843341, 90.98387845817024, 75.53485162180814, 21.99792960662526, 150000
2, 96.67128987517337, 90.98387845817024, 33.91123439667129, 62.76005547850209, 150000
3, 95.88783983619611, 90.98387845817024, 58.90114890228643, 36.986690933909685, 150000
4, 92.22681186631618, 90.98387845817024, 80.51070221554639, 11.716109650769809, 150000
1, 99.58592132505176, 92.55622636502355, 75.53485162180814, 24.051069703243616, 300000
2, 98.40499306518724, 92.55622636502355, 33.91123439667129, 64.49375866851595, 300000
3, 95.46126720509612, 92.55622636502355, 58.90114890228643, 36.56011830280969, 300000
4, 99.41794968081112, 92.55622636502355, 80.51070221554639, 18.90724746526474, 300000
