Count Iteration, Accuracy (%), ACC (%), TN (%), TP (%), TimeStep
1, 98.90865282403797, 85.69149401171431, 2.4803344908227625, 96.42831833321523, 100000
2, 86.78252551020408, 85.69149401171431, 13.863201530612246, 72.91932397959184, 100000
3, 74.85102340443906, 85.69149401171431, 44.278435098022285, 30.572588306416787, 100000
4, 99.21019565607611, 85.69149401171431, 83.70131035720696, 15.508885298869144, 100000
5, 97.36070381231671, 85.69149401171431, 48.09384164222874, 49.266862170087975, 100000
6, 91.64785553047405, 85.69149401171431, 18.058690744920995, 73.58916478555305, 100000
7, 98.28767123287672, 85.69149401171431, 11.472602739726028, 86.81506849315068, 100000
1, 100.0, 84.95716408776991, 2.4803344908227625, 97.51966550917723, 300000
2, 76.8016581632653, 84.95716408776991, 16.135204081632654, 60.66645408163265, 300000
3, 80.25736246653425, 84.95716408776991, 44.7361602901805, 35.521202176353746, 300000
4, 99.33584634715491, 84.95716408776991, 83.68336025848141, 15.652486088673486, 300000
5, 99.70674486803519, 84.95716408776991, 48.09384164222874, 51.61290322580645, 300000
6, 99.09706546275395, 84.95716408776991, 17.607223476297968, 81.48984198645599, 300000
7, 99.7431506849315, 84.95716408776991, 11.472602739726028, 88.27054794520548, 300000
