Count Iteration, Accuracy (%), ACC (%), TN (%), TP (%)
1, 100.0, 73.17049187767729, 0.0, 100.0
2, 100.0, 73.17049187767729, 0.0, 100.0
3, 100.0, 73.17049187767729, 0.0, 100.0
4, 100.0, 73.17049187767729, 0.0, 100.0
5, 100.0, 73.17049187767729, 0.0, 100.0
6, 100.0, 73.17049187767729, 0.0, 100.0
7, 100.0, 73.17049187767729, 0.0, 100.0
8, 100.0, 73.17049187767729, 0.0, 100.0
9, 91.24893797790993, 73.17049187767729, 60.832625318606624, 30.416312659303312
10, 94.08127208480566, 73.17049187767729, 87.63250883392226, 6.448763250883392
11, 67.63961175974117, 73.17049187767729, 1.2871008580672387, 66.35251090167394
12, 16.444692559215248, 73.17049187767729, 16.444692559215248, 0.0
13, 46.04193410355156, 73.17049187767729, 45.50278134360291, 0.5391527599486521
14, 93.1967213114754, 73.17049187767729, 46.967213114754095, 46.22950819672131
15, 100.0, 73.17049187767729, 0.0, 100.0
16, 100.0, 73.17049187767729, 0.0, 100.0
17, 52.37505163155721, 73.17049187767729, 0.0, 52.37505163155721
18, 100.0, 73.17049187767729, 0.0, 100.0
19, 100.0, 73.17049187767729, 0.0, 100.0
20, 100.0, 73.17049187767729, 0.0, 100.0
21, 100.0, 73.17049187767729, 0.0, 100.0
22, 100.0, 73.17049187767729, 0.0, 100.0
23, 100.0, 73.17049187767729, 0.0, 100.0
24, 89.94670097408564, 73.17049187767729, 83.95515530233413, 5.991545671751516
25, 100.0, 73.17049187767729, 0.0, 100.0
26, 100.0, 73.17049187767729, 0.0, 100.0
27, 100.0, 73.17049187767729, 0.0, 100.0
28, 100.0, 73.17049187767729, 0.0, 100.0
29, 100.0, 73.17049187767729, 0.0, 100.0
30, 100.0, 73.17049187767729, 0.0, 100.0
31, 100.0, 73.17049187767729, 0.0, 100.0
32, 100.0, 73.17049187767729, 0.0, 100.0
33, 28.768844221105528, 73.17049187767729, 0.0, 28.768844221105528
34, 48.68035190615836, 73.17049187767729, 0.0, 48.68035190615836
35, 100.0, 73.17049187767729, 0.0, 100.0
36, 99.83917469158806, 73.17049187767729, 0.0, 99.83917469158806
37, 90.28960817717207, 73.17049187767729, 0.0, 90.28960817717207
38, 41.47476157245871, 73.17049187767729, 41.47476157245871, 0.0
39, 32.64423076923077, 73.17049187767729, 32.64423076923077, 0.0
40, 11.496461955097406, 73.17049187767729, 11.050930374770681, 0.4455315803267232
41, 59.10235859858026, 73.17049187767729, 59.10235859858026, 0.0
