Count Iteration, Accuracy (%), ACC (%), TN (%), TP (%), TimeStep
1, 97.50271444082519, 92.47943595769684, 43.97394136807817, 53.528773072747015, 10000
2, 90.05847953216374, 92.47943595769684, 55.409356725146196, 34.64912280701755, 10000
3, 94.30979978925184, 92.47943595769684, 60.06322444678609, 34.24657534246575, 10000
1, 98.0456026058632, 98.2373678025852, 43.97394136807817, 54.071661237785015, 100000
2, 97.6608187134503, 98.2373678025852, 55.409356725146196, 42.251461988304094, 100000
3, 99.36775553213909, 98.2373678025852, 60.06322444678609, 39.304531085353, 100000
1, 96.30836047774159, 97.53231492361927, 43.97394136807817, 52.33441910966341, 150000
2, 97.953216374269, 97.53231492361927, 55.409356725146196, 42.54385964912281, 150000
3, 99.4731296101159, 97.53231492361927, 60.06322444678609, 39.409905163329825, 150000
1, 99.0228013029316, 98.98159028593811, 43.97394136807817, 55.048859934853425, 300000
2, 97.953216374269, 98.98159028593811, 55.409356725146196, 42.54385964912281, 300000
3, 99.15700737618546, 98.98159028593811, 60.06322444678609, 39.09378292939937, 300000
