Count Iteration, Accuracy (%), ACC (%), TN (%), TP (%), TimeStep
1, 97.51966550917723, 81.28332896232187, 0.0, 97.51966550917723, 100000
2, 76.84151785714286, 81.28332896232187, 6.576849489795919, 70.26466836734694, 100000
3, 61.88790050954314, 81.28332896232187, 44.805250885223245, 17.08264962431989, 100000
4, 95.404774726261, 81.28332896232187, 83.70131035720696, 11.70346436905403, 100000
5, 86.21700879765396, 81.28332896232187, 48.09384164222874, 38.12316715542522, 100000
6, 78.78103837471784, 81.28332896232187, 18.058690744920995, 60.722347629796836, 100000
7, 94.17808219178082, 81.28332896232187, 11.472602739726028, 82.7054794520548, 100000
1, 97.51966550917723, 81.82096337092403, 0.0, 97.51966550917723, 150000
2, 74.5376275510204, 81.82096337092403, 13.616071428571427, 60.92155612244898, 150000
3, 62.6306244062527, 81.82096337092403, 44.83115985836428, 17.79946454788842, 150000
4, 99.6230479267636, 81.82096337092403, 83.45000897504936, 16.173038951714233, 150000
5, 89.73607038123167, 81.82096337092403, 48.09384164222874, 41.64222873900293, 150000
6, 83.97291196388262, 81.82096337092403, 18.058690744920995, 65.91422121896161, 150000
7, 95.97602739726028, 81.82096337092403, 11.472602739726028, 84.50342465753424, 150000
1, 97.51966550917723, 82.30177463064953, 0.0, 97.51966550917723, 300000
2, 74.23469387755102, 82.30177463064953, 11.36001275510204, 62.87468112244898, 300000
3, 63.08834959841092, 82.30177463064953, 44.83115985836428, 18.257189740046638, 300000
4, 99.5871477293125, 82.30177463064953, 83.50385927122599, 16.08328845808652, 300000
5, 100.0, 82.30177463064953, 48.09384164222874, 51.90615835777126, 300000
6, 99.32279909706546, 82.30177463064953, 17.381489841986454, 81.941309255079, 300000
7, 100.0, 82.30177463064953, 11.472602739726028, 88.52739726027397, 300000
