Count Iteration, Accuracy (%), ACC (%), TN (%), TP (%), TimeStep
1, 91.24179354658472, 83.22953060914476, 45.7466126553988, 45.495180891185925, 100000
2, 40.51825677267373, 83.22953060914476, 40.51825677267373, 0.0, 100000
3, 99.56933219906423, 83.22953060914476, 31.94385367928541, 67.62547851977881, 100000
4, 89.07394489012906, 83.22953060914476, 0.0, 89.07394489012906, 100000
5, 60.122699386503065, 83.22953060914476, 60.122699386503065, 0.0, 100000
1, 88.51794943427853, 82.92571775786116, 45.87232853750523, 42.64562089677329, 150000
2, 40.51825677267373, 82.92571775786116, 40.51825677267373, 0.0, 150000
3, 93.16780093577202, 82.92571775786116, 32.37452148022118, 60.79327945555083, 150000
4, 89.07394489012906, 82.92571775786116, 0.0, 89.07394489012906, 150000
5, 60.122699386503065, 82.92571775786116, 60.122699386503065, 0.0, 150000
1, 88.40620198351725, 85.20214405069333, 45.87232853750523, 42.53387344601201, 300000
2, 40.51825677267373, 85.20214405069333, 40.51825677267373, 0.0, 300000
3, 98.59102509570396, 85.20214405069333, 32.37452148022118, 66.21650361548276, 300000
4, 89.07394489012906, 85.20214405069333, 0.0, 89.07394489012906, 300000
5, 60.122699386503065, 85.20214405069333, 60.122699386503065, 0.0, 300000
