Count Iteration, Accuracy (%), ACC (%), TN (%), TP (%), TimeStep
1, 88.6995390417656, 82.86278509580956, 45.85836010616008, 42.841178935605534, 100000
2, 57.4793875147232, 82.86278509580956, 40.51825677267373, 16.96113074204947, 100000
3, 97.28838792003403, 82.86278509580956, 32.37452148022118, 64.91386643981285, 100000
4, 89.07394489012906, 82.86278509580956, 0.0, 89.07394489012906, 100000
5, 60.122699386503065, 82.86278509580956, 60.122699386503065, 0.0, 100000
1, 92.35926805419751, 83.9239599835073, 45.71867579270848, 46.64059226148903, 150000
2, 65.55948174322732, 83.9239599835073, 39.83510011778563, 25.724381625441694, 150000
3, 97.78817524457678, 83.9239599835073, 32.37452148022118, 65.4136537643556, 150000
4, 86.58004883153122, 83.9239599835073, 8.789675619114057, 77.79037321241717, 150000
5, 60.122699386503065, 83.9239599835073, 60.122699386503065, 0.0, 150000
1, 92.95991060203939, 85.95082571992795, 45.5370861852214, 47.422824416817996, 300000
2, 68.2449941107185, 85.95082571992795, 39.57597173144876, 28.66902237926973, 300000
3, 99.36729051467461, 85.95082571992795, 32.37452148022118, 66.99276903445343, 300000
4, 92.25671433554238, 85.95082571992795, 7.272410184862226, 84.98430415068016, 300000
5, 60.122699386503065, 85.95082571992795, 60.122699386503065, 0.0, 300000
